               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.029245,            0.012692,                   0,             0.99943,                   1,               0.995,             0.78384,            0.014014,           0.0039796,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.027013,            0.012068,                   0,             0.99955,                   1,               0.995,             0.84617,            0.012181,           0.0037132,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.025952,            0.011717,                   0,             0.99952,                   1,               0.995,             0.81047,            0.014106,           0.0038067,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.026448,            0.012525,                   0,             0.99945,                   1,               0.995,             0.80497,            0.014986,           0.0040668,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.029703,            0.013516,                   0,             0.99951,                   1,               0.995,             0.84726,            0.010674,           0.0037349,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.023712,            0.012048,                   0,             0.99949,                   1,               0.995,             0.84858,            0.014348,           0.0035579,                   0,            0.008911,            0.008911,            0.008911
                  57,             0.02314,            0.010984,                   0,                   1,             0.99969,               0.995,              0.8259,            0.011092,           0.0037386,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.021036,            0.011671,                   0,              0.9987,                   1,               0.995,             0.85454,           0.0098956,            0.003556,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.021766,            0.012546,                   0,             0.99945,                   1,               0.995,             0.85522,           0.0095169,           0.0036696,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.023883,            0.012526,                   0,             0.99942,                   1,               0.995,             0.80816,              0.0105,           0.0036162,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.023306,            0.011569,                   0,             0.99929,                   1,               0.995,             0.78667,             0.01338,           0.0040062,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.020843,            0.011362,                   0,             0.99923,                   1,               0.995,             0.86942,            0.009106,           0.0034042,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.023191,            0.011326,                   0,                   1,             0.99769,               0.995,              0.8424,             0.01228,            0.003732,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.020863,            0.011406,                   0,                   1,             0.99762,               0.995,             0.83935,            0.010348,           0.0039733,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.023601,            0.010827,                   0,             0.99952,                   1,               0.995,             0.79833,            0.012919,           0.0037365,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.025701,             0.01165,                   0,             0.99943,                   1,               0.995,             0.81197,            0.013765,           0.0037755,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.023332,            0.011945,                   0,             0.99932,                   1,               0.995,             0.85804,           0.0096117,           0.0036174,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.024106,            0.011806,                   0,             0.99794,                   1,               0.995,             0.83672,             0.01357,           0.0040319,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.022524,            0.011972,                   0,             0.99824,                   1,               0.995,             0.82968,            0.011275,           0.0043494,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.021509,            0.012925,                   0,             0.99632,                   1,               0.995,             0.85127,              0.0098,           0.0040071,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.024077,            0.011395,                   0,             0.99913,                   1,               0.995,             0.84995,           0.0096067,           0.0036187,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.023876,            0.011598,                   0,              0.9993,                   1,               0.995,             0.80969,            0.011674,           0.0036253,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.022205,            0.011365,                   0,             0.99941,                   1,               0.995,             0.83404,            0.010496,           0.0036397,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,             0.02175,            0.011417,                   0,             0.99941,                   1,               0.995,             0.84198,            0.010502,           0.0036253,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.023679,            0.011319,                   0,             0.99955,                   1,               0.995,             0.85324,           0.0077764,           0.0035633,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.022647,            0.010662,                   0,             0.99962,                   1,               0.995,             0.84752,            0.012814,           0.0033868,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.022578,            0.012217,                   0,             0.99963,                   1,               0.995,             0.86115,           0.0096868,           0.0034442,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.020007,            0.010849,                   0,             0.99957,                   1,               0.995,             0.86562,           0.0090055,           0.0034375,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.021667,            0.010948,                   0,             0.99951,                   1,               0.995,             0.81526,            0.010364,           0.0034902,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.023482,            0.011599,                   0,             0.99952,                   1,               0.995,             0.84674,            0.010382,           0.0033449,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.021537,            0.010751,                   0,             0.99946,                   1,               0.995,             0.86155,           0.0090124,           0.0032543,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.021133,            0.011023,                   0,             0.99949,                   1,               0.995,             0.87956,           0.0094778,           0.0032885,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.019423,            0.011267,                   0,             0.99949,                   1,               0.995,             0.88022,           0.0081654,           0.0031858,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.020623,             0.01077,                   0,               0.999,                   1,               0.995,             0.85078,             0.01091,           0.0032846,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.021499,            0.011272,                   0,             0.99906,                   1,               0.995,             0.85844,            0.010968,           0.0032781,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.019485,            0.010979,                   0,             0.99922,                   1,               0.995,             0.85959,           0.0090323,           0.0033371,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.021248,            0.011351,                   0,             0.99928,                   1,               0.995,             0.85185,           0.0094497,           0.0031576,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.021385,              0.0102,                   0,             0.99947,                   1,               0.995,             0.84401,            0.010816,           0.0032544,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.019109,            0.010519,                   0,              0.9996,                   1,               0.995,             0.84979,           0.0094238,           0.0034162,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.021155,            0.010401,                   0,             0.99957,                   1,               0.995,             0.84669,            0.012022,           0.0036354,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.022746,            0.010589,                   0,             0.99961,                   1,               0.995,             0.84206,           0.0096845,           0.0034174,                   0,            0.008218,            0.008218,            0.008218
